system,dp,Temp,MSD_1ps,MSD_2ps,MSD_3ps,MSD_4ps,MSD_5ps,MSD_6ps,MSD_7ps,MSD_8ps,MSD_9ps,MSD_10ps
PDMS,30,250,1.0054418141185169,1.264281923498832,1.3857014814570605,1.4631784958103637,1.523933511161223,1.5773767989395135,1.6145732667060457,1.6486244916345396,1.6834721479818042,1.6961457454182802
PDMS,30,255,1.0297483247455477,1.2952768278875142,1.4207789912265896,1.5238568657558977,1.5857596278425716,1.625872818888908,1.6666757075447785,1.7013114237794835,1.724068394195261,1.7568649689922045
PDMS,30,260,1.0735255886609116,1.359395511833752,1.5019206890361165,1.5820043679711178,1.6489728233090357,1.6906190763243316,1.7115937429563612,1.7440437771326516,1.767086467429042,1.7862236262806963
PDMS,30,265,1.1014898085915559,1.3844439568491826,1.516225442207594,1.5862363224015985,1.645807206462465,1.7006235917528891,1.7452522862178803,1.7816741814888701,1.810285332978396,1.833315398254263
PDMS,30,270,1.1219907996060634,1.404578501700023,1.5332205100924883,1.616390543426741,1.6933362923767152,1.7393254149340893,1.7740201094092622,1.7997052644588893,1.841752764066305,1.8624776445327966
PDMS,30,275,1.1555557194172636,1.4543077807873328,1.5983217950509914,1.683426811073383,1.7425345655272317,1.7842178898022367,1.8188988869363178,1.860151740125837,1.8756548782595863,1.8961482365388977
PDMS,30,280,1.189049479938259,1.4992605734203364,1.651636698081278,1.7391038736568363,1.788279821210623,1.8258053925649507,1.8569331665927002,1.8865476676381274,1.908271224949596,1.9506949245362986
PDMS,30,285,1.2138563022111808,1.5438597310812932,1.6790682895733613,1.7711005075762298,1.821909932356574,1.8756332566461502,1.9196313536851115,1.9593687141261042,1.9824127578609887,2.0106548737362298
PDMS,30,290,1.2519692276772285,1.5827252020279223,1.7443930266426766,1.82835736281455,1.8938540708929767,1.926613738391956,1.9648376789130044,1.9952151208638935,2.0212948639225514,2.045308358427104
PDMS,30,295,1.2716798573714578,1.6002119831805417,1.7625790285899607,1.8686811363205629,1.9236200025017833,1.9620395624697573,1.9914531913804852,2.0162860803595803,2.057234170991694,2.0735176427311304
PDMS,30,300,1.3084343112211223,1.6575257256999105,1.840177681434675,1.9249041813081138,1.98601683376534,2.0139763789879526,2.0382475373146045,2.065792970527398,2.088468852829436,2.116741615666771
PDMS,30,305,1.333528063160267,1.7226733244479573,1.8830843060499198,1.960149525364351,2.0219812611308994,2.0686268391581013,2.0989884437055446,2.112979415648093,2.1450199959903613,2.1744666884862744
PDMS,100,100,0.2659056089860846,0.3011538529013326,0.3160826613691222,0.326368574987665,0.3339737437496898,0.3435326232863658,0.35096302552258457,0.3575942280568706,0.3635070490079468,0.3710788240695062
PDMS,100,105,0.2849103531203937,0.32428046178640124,0.33969712677050423,0.35289607523039107,0.36586891451940134,0.37421345806788725,0.38308087049001105,0.3908202215240468,0.39705196112486896,0.40483229090707606
PDMS,100,110,0.3020882787711834,0.34675134583507916,0.3634347323773675,0.37759711808317975,0.38724894780499886,0.3991649296174481,0.40836877913529995,0.42005489132545526,0.43059623535874014,0.4410598333871073
PDMS,100,115,0.3192851587446387,0.3711816923157211,0.39202093992296255,0.4102637974902009,0.4219765285379576,0.4335565236450867,0.4469348337398234,0.4570371554670717,0.4695352564548017,0.4801229184240249
PDMS,100,120,0.3396584100756476,0.39606808696305473,0.42366212047151797,0.44158169275351683,0.4610214930087249,0.4797795058471951,0.49188780341098226,0.5034584306500205,0.5130697756625661,0.5223652269300076
PDMS,100,125,0.3578901579722496,0.4233900798211681,0.4528840099037426,0.4755276793534663,0.49432488257304985,0.5094820969478919,0.5220855047628997,0.5350072844611736,0.5459438805918311,0.5606427217526494
PDMS,100,130,0.3754761088408961,0.44400232905366616,0.47440166791442523,0.4987443200695322,0.5211666037731673,0.5422276866704974,0.5574048478848131,0.5739875663203413,0.5863375282298802,0.5991712366678421
PDMS,100,135,0.39858478816812487,0.4699364518473109,0.5016100292980401,0.5313793503393505,0.5552514775094585,0.5752680430613767,0.5959346267535293,0.615513955939338,0.6304684360308361,0.6406122969841099
PDMS,100,140,0.41862682902383713,0.49847423150884235,0.5381594440212103,0.5663757704444375,0.5909418293385813,0.6160282289350522,0.6355030541917737,0.6576260221010138,0.6720465604623322,0.687927893175637
PDMS,100,145,0.43690301393344005,0.5242911433746047,0.5668916247854321,0.6003416683312418,0.6296225135976365,0.6572382742285849,0.6789213459640859,0.697181567583774,0.7141878335502982,0.7309305224572692
PDMS,100,150,0.45964157577020126,0.556315308074612,0.603506552906454,0.6355204331846023,0.66410005773697,0.6924594691318658,0.7182740988131202,0.7412771350169981,0.7633154981356174,0.7818597809328385
PDMS,100,155,0.48195240271000844,0.5847189031485077,0.6401871212496197,0.6820411420691765,0.714791005533866,0.7456350112603979,0.771188170071674,0.7910537395504728,0.8143273338761423,0.833266221169844
PDMS,100,160,0.5037708959729075,0.6156129400103549,0.6688593754079044,0.711765997291369,0.7498844765570668,0.7818221988828189,0.8091335269169854,0.8319230130967942,0.8535967520132562,0.8751721891056965
PDMS,100,165,0.52946108859722,0.6438413160302093,0.7023065363049913,0.7503780678881306,0.7955436305592338,0.8310690394366718,0.85875823011704,0.8833768289464355,0.906303166704058,0.9301601924209321
PDMS,100,170,0.5512070673355147,0.6724582733987867,0.7417654515505111,0.7907306779119084,0.8344104410820992,0.8641331382767472,0.8954766760434781,0.9232418803387356,0.9472601993897045,0.9718193884712301
PDMS,100,175,0.5754739630154966,0.7077581469723204,0.78177236307288,0.8356026757261461,0.8797727916766469,0.9167692837018496,0.9488340182465093,0.9741766597325426,0.9925054532940674,1.0193234642256876
PDMS,100,180,0.5995037418222369,0.7381434091797833,0.8050656061887207,0.8613427531416555,0.9061061012321552,0.9451585895790151,0.9798594916304986,1.0082575551660746,1.036526629312483,1.0637388754466985
