system,dp,r,g_r
PMTFPS,10,12.792227931138946,0.0
PMTFPS,10,13.293883928438511,0.0
PMTFPS,10,13.795539925738076,0.0
PMTFPS,10,14.297195923037645,0.0
PMTFPS,10,14.79885192033721,0.0
PMTFPS,10,15.300507917636775,0.0
PMTFPS,10,15.802163914936344,0.0
PMTFPS,10,16.30381991223591,16.065386987372502
PMTFPS,10,16.805475909535474,0.0
PMTFPS,10,17.307131906835043,0.0
PMTFPS,10,17.80878790413461,0.0
PMTFPS,10,18.310443901434176,0.0
PMTFPS,10,18.81209989873374,0.0
PMTFPS,10,19.313755896033307,0.0
PMTFPS,10,19.815411893332875,0.0
PMTFPS,10,20.31706789063244,0.0
PMTFPS,10,20.81872388793201,0.0
PMTFPS,10,21.320379885231574,0.0
PMTFPS,10,21.82203588253114,0.0
PMTFPS,10,22.323691879830704,0.0
PMTFPS,10,22.825347877130273,0.0
PMTFPS,10,23.327003874429842,15.718740390347746
PMTFPS,10,23.828659871729407,0.0
PMTFPS,10,24.330315869028972,0.0
PMTFPS,10,24.831971866328537,0.0
PMTFPS,10,25.333627863628106,0.0
PMTFPS,10,25.835283860927674,0.0
PMTFPS,10,26.33693985822724,0.0
PMTFPS,10,26.838595855526805,0.0
PMTFPS,10,27.34025185282637,0.0
PMTFPS,10,27.84190785012594,0.0
PMTFPS,10,28.343563847425504,7.087983204619908
PMTFPS,10,28.845219844725072,0.0
PMTFPS,10,29.346875842024637,0.0
PMTFPS,10,29.848531839324203,0.0
PMTFPS,10,30.350187836623768,0.0
PMTFPS,10,30.851843833923336,0.0
PMTFPS,10,31.353499831222905,0.0
PMTFPS,10,31.85515582852247,0.0
PMTFPS,10,32.356811825822035,0.0
PMTFPS,10,32.8584678231216,3.9554977362274397
PMTFPS,10,33.360123820421165,0.0
PMTFPS,10,33.86177981772074,0.0
PMTFPS,10,34.3634358150203,0.0
PMTFPS,10,34.86509181231987,0.0
PMTFPS,10,35.36674780961943,0.0
PMTFPS,10,35.868403806919005,0.0
PMTFPS,10,36.37005980421857,0.0
PMTFPS,10,36.871715801518135,12.601038452323808
PMTFPS,10,37.3733717988177,0.0
PMTFPS,10,37.875027796117266,0.0
PMTFPS,10,38.37668379341683,0.0
PMTFPS,10,38.878339790716396,0.0
PMTFPS,10,39.37999578801597,0.0
PMTFPS,10,39.88165178531553,0.0
PMTFPS,10,40.3833077826151,10.475019055189247
PMTFPS,10,40.88496377991467,0.0
PMTFPS,30,0.2500999095076222,0.0
PMTFPS,30,0.7502997285228665,0.0
PMTFPS,30,1.2504995475381109,0.0
PMTFPS,30,1.7506993665533552,0.0
PMTFPS,30,2.2508991855685996,0.0
PMTFPS,30,2.751099004583844,0.0
PMTFPS,30,3.2512988235990883,0.0
PMTFPS,30,3.7514986426143326,0.0
PMTFPS,30,4.2516984616295765,0.0
PMTFPS,30,4.751898280644822,0.0
PMTFPS,30,5.252098099660065,0.0
PMTFPS,30,5.7522979186753105,0.0
PMTFPS,30,6.252497737690554,0.0
PMTFPS,30,6.752697556705799,0.0
PMTFPS,30,7.252897375721043,0.0
PMTFPS,30,7.753097194736288,0.0
PMTFPS,30,8.253297013751531,0.0
PMTFPS,30,8.753496832766775,0.0
PMTFPS,30,9.253696651782022,0.0
PMTFPS,30,9.753896470797265,0.0
PMTFPS,30,10.254096289812509,0.0
PMTFPS,30,10.754296108827752,0.0
PMTFPS,30,11.254495927843,0.0
PMTFPS,30,11.754695746858243,0.0
PMTFPS,30,12.254895565873486,0.0
PMTFPS,30,12.75509538488873,0.0
PMTFPS,30,13.255295203903977,0.0
PMTFPS,30,13.75549502291922,0.0
PMTFPS,30,14.255694841934464,0.0
PMTFPS,30,14.755894660949707,0.0
PMTFPS,30,15.256094479964954,0.0
PMTFPS,30,15.756294298980198,0.0
PMTFPS,30,16.25649411799544,0.0
PMTFPS,30,16.756693937010684,0.0
PMTFPS,30,17.25689375602593,0.0
PMTFPS,30,17.757093575041175,0.0
PMTFPS,30,18.25729339405642,0.0
PMTFPS,30,18.757493213071662,0.0
PMTFPS,30,19.25769303208691,0.0
PMTFPS,30,19.757892851102152,0.0
PMTFPS,30,20.258092670117396,0.0
PMTFPS,30,20.75829248913264,0.0
PMTFPS,30,21.258492308147886,0.0
PMTFPS,30,21.75869212716313,0.0
PMTFPS,30,22.258891946178373,0.0
PMTFPS,30,22.759091765193617,0.0
PMTFPS,30,23.259291584208864,0.0
PMTFPS,30,23.759491403224107,22.41265888239051
PMTFPS,30,24.25969122223935,0.0
PMTFPS,30,24.759891041254594,0.0
PMTFPS,30,25.26009086026984,0.0
PMTFPS,30,25.760290679285085,0.0
PMTFPS,30,26.260490498300328,0.0
PMTFPS,30,26.76069031731557,0.0
PMTFPS,30,27.26089013633082,0.0
PMTFPS,30,27.761089955346062,0.0
PMTFPS,30,28.261289774361305,0.0
PMTFPS,30,28.76148959337655,0.0
PMTFPS,30,29.261689412391796,0.0
PMTFPS,30,29.76188923140704,0.0
PMTFPS,30,30.262089050422283,0.0
PMTFPS,30,30.762288869437526,0.0
PMTFPS,30,31.262488688452773,0.0
PMTFPS,30,31.762688507468017,0.0
PMTFPS,30,32.262888326483264,0.0
PMTFPS,30,32.7630881454985,0.0
PMTFPS,30,33.26328796451375,22.903052825919115
PMTFPS,30,33.76348778352899,0.0
PMTFPS,30,34.26368760254424,0.0
PMTFPS,30,34.76388742155949,0.0
