folder_name,graph_file,cnt_d0,cnt_d1,cnt_d2,cnt_d3,cnt_d4,cnt_d5,cnt_d6,uts_mean,uts_std,strain_break_mean,strain_break_std,toughness_mean,toughness_std,num_directions,total_nodes,lambda_2,assortativity,avg_path_len,max_betweenness,deg_mean,deg_std,deg_skew,deg_entropy,graph_energy,avg_eigenvector_cent,frac_loops,frac_dangling,fraction_active_nodes,lambda_2_core,avg_path_core,core_density,cyclomatic_idx,cyclomatic_norm,num_bridges,num_articulations,max_k_core,mean_k_core
14_30_25_31_30_35_51,data/mechanics/14_30_25_31_30_35_51/network_N6x6x6_trial2.gpickle,14,30,25,31,30,35,51,3.852423333333333,0.19121764028340982,11.005383333333333,1.921383616187969,13.588982146574999,4.7514909636072336,3,216,0.25172408961311604,-0.0858029436046337,5.1586621348702035,0.05731291069542411,3.5833333333333335,1.9561157657175838,-0.2754016366541365,1.8896097322389909,316.1795446379738,0.05505739755148891,0.0,0.1388888888888889,0.7962962962962963,0.32334627275651756,4.849177206582348,0.02427580579355365,186,0.9207920792079208,30,27,3,2.4752475247524752
14_31_28_25_39_36_43,data/mechanics/14_31_28_25_39_36_43/network_N6x6x6_trial174.gpickle,14,31,28,25,39,36,43,3.868596666666667,0.2267804686377456,12.5304,1.679528042834256,18.073340846025,3.721011906052149,3,216,0.20054001248044628,-0.08001464178467196,5.288803507216393,0.05687522635538927,3.5,1.9172704363041553,-0.25224777625137496,1.8993931353760016,312.97656884650956,0.05462371575025514,0.0,0.14351851851851852,0.7824074074074074,0.27547335448030447,4.9212454212454215,0.02430262045646661,177,0.8762376237623762,33,30,3,2.48019801980198
14_31_33_29_20_34_55,data/mechanics/14_31_33_29_20_34_55/network_N6x6x6_trial2062.gpickle,14,31,33,29,20,34,55,2.865603333333333,1.0478158851418296,10.863733333333334,1.7607765807228983,11.751451631750001,5.922154733033113,3,216,0.1525090195367933,0.004969822903810415,5.374710605388897,0.06555026452128089,3.537037037037037,2.0088965366400915,-0.18265976551925417,1.8722646898718038,312.7795328218287,0.05467819884824708,0.0,0.14351851851851852,0.7685185185185185,0.23086404023150633,4.94399415845199,0.025264695144213218,181,0.8960396039603961,36,33,3,2.381188118811881
14_31_34_25_41_14_57,data/mechanics/14_31_34_25_41_14_57/network_N6x6x6_trial2373.gpickle,14,31,34,25,41,14,57,3.3716866666666667,0.1917751618142686,12.463766666666666,1.1159472817098284,14.607827301708333,2.320631636221232,3,216,0.2442698713920751,-0.12931995540691277,5.227821289591645,0.05396732937784616,3.4722222222222223,1.9788620623298618,-0.11292309202515727,1.8408999862565387,310.06358888419413,0.05738597760098237,0.0,0.14351851851851852,0.7824074074074074,0.3218990653622984,4.895463510848126,0.024091293322062553,174,0.8613861386138614,33,31,3,2.4504950495049505
14_31_37_29_36_12_57,data/mechanics/14_31_37_29_36_12_57/network_N6x6x6_trial1016.gpickle,14,31,37,29,36,12,57,2.7380599999999995,0.9742890779777152,14.263766666666667,0.5295768772226452,15.985794650333332,5.04233197545379,3,216,0.09133867398271336,-0.07248328421077227,5.40027584848037,0.06635943585171904,3.4166666666666665,1.9796417558440929,-0.03923577081613997,1.8385402982418384,307.5502559488865,0.05245908294170773,0.0,0.14351851851851852,0.7731481481481481,0.2453965734572484,4.996464901522256,0.024096385542168676,168,0.8316831683168316,35,33,3,2.3267326732673266
14_32_18_37_42_47_26,data/mechanics/14_32_18_37_42_47_26/network_N6x6x6_trial5.gpickle,14,32,18,37,42,47,26,4.35629,0.6716660068813963,13.797033333333333,0.9377129387800703,20.065297111308332,0.5930261904817701,3,216,0.2269228651146091,-0.09452335353719947,5.236737106546475,0.05604824232125945,3.4166666666666665,1.7982759232932792,-0.3349665070426292,1.8746738838369201,312.28778481726874,0.05860886651190626,0.0,0.14814814814814814,0.7824074074074074,0.3353915726888395,4.873485488870104,0.023668639053254437,168,0.8316831683168316,33,32,3,2.4356435643564356
14_32_28_27_25_59_31,data/mechanics/14_32_28_27_25_59_31/network_N6x6x6_trial89.gpickle,14,32,28,27,25,59,31,3.5844400000000003,0.26164908191443487,12.622133333333332,0.8872554436137446,15.982601842058335,1.0613344862599385,3,216,0.16860773627248948,-0.1723996314919052,5.242598886754347,0.054396973269553145,3.4722222222222223,1.8927656295471613,-0.3051913671896282,1.8676863645248618,311.6786026281576,0.05718457753814673,0.0,0.14814814814814814,0.7731481481481481,0.30345569854423293,4.835004689416348,0.024529254743525,174,0.8613861386138614,35,34,3,2.48019801980198
14_32_31_18_41_40_40,data/mechanics/14_32_31_18_41_40_40/network_N6x6x6_trial68502.gpickle,14,32,31,18,41,40,40,3.306036666666667,0.7127757992680605,12.580433333333334,1.2611357324077193,16.152374672133334,3.88803516461511,3,216,0.1839183137004678,0.008363708385598615,5.339983252056549,0.05693869459277739,3.4814814814814814,1.9195942929840837,-0.2603522954715742,1.885938326437096,313.773011599966,0.058523375749483096,0.0,0.14814814814814814,0.7638888888888888,0.2934736892044154,4.900369549150037,0.025055432372505543,175,0.8663366336633663,37,34,3,2.4356435643564356
14_33_11_35_55_22_46,data/mechanics/14_33_11_35_55_22_46/network_N6x6x6_trial20.gpickle,14,33,11,35,55,22,46,3.66391,0.42025450772914563,12.872099999999998,2.739278088596823,17.560425504058333,6.381738887684727,3,216,0.21572573145040694,-0.15926721628972715,5.1695975567706025,0.06030870394358721,3.5462962962962963,1.8776672843523217,-0.32399901811227133,1.821253659091173,316.315423537971,0.056554823623408856,0.0,0.1527777777777778,0.7824074074074074,0.34217751392183954,4.833474218089603,0.02465483234714004,182,0.900990099009901,33,32,3,2.5594059405940595
14_33_20_47_27_18_57,data/mechanics/14_33_20_47_27_18_57/network_N6x6x6_trial149.gpickle,14,33,20,47,27,18,57,2.911236666666667,0.8729673468629219,11.997100000000001,0.8804541138904782,13.870636395808333,5.342871870538844,3,216,0.09827132633115852,-0.0030086868019533496,5.320526082458993,0.07108094052662975,3.490740740740741,1.9696557810306847,-0.12797217646212222,1.8351332957152888,313.56060903710767,0.05419461976568017,0.0,0.1527777777777778,0.7592592592592593,0.33811129512420823,4.828146042196618,0.025362860990573097,176,0.8712871287128713,38,37,3,2.4158415841584158
14_33_21_34_50_23_41,data/mechanics/14_33_21_34_50_23_41/network_N6x6x6_trial40.gpickle,14,33,21,34,50,23,41,2.7573700000000003,0.8509424019677636,12.230366666666667,1.9937750346738945,13.831393381008333,5.925771350964201,3,216,0.1557174955850317,-0.07111946449889281,5.364563322003842,0.06343354538982485,3.4166666666666665,1.866493047481371,-0.19810812708861975,1.8746452912730391,309.80404687286637,0.05352229258703555,0.0,0.1527777777777778,0.7685185185185185,0.26864864160283414,4.946987951807229,0.024315443592552027,168,0.8316831683168316,36,34,3,2.405940594059406
14_33_38_23_21_42_45,data/mechanics/14_33_38_23_21_42_45/network_N6x6x6_trial2511.gpickle,14,33,38,23,21,42,45,2.899086666666667,0.24164245382152705,13.5804,1.7046581612354623,16.872286536566666,6.425578793554187,3,216,0.13226681372639443,-0.11760016385435798,5.3787498152800355,0.07021855937240322,3.435185185185185,1.9826709825298061,-0.1392003871941464,1.8804029429677838,307.71742840811936,0.05280783718370717,0.0,0.1527777777777778,0.7638888888888888,0.18993055667290482,4.961714708056172,0.024685883222468587,170,0.8415841584158416,37,34,3,2.3366336633663365
14_33_38_27_23_28_53,data/mechanics/14_33_38_27_23_28_53/network_N6x6x6_trial2946.gpickle,14,33,38,27,23,28,53,3.0860533333333335,0.6979684795334402,12.680466666666666,1.8216674290940762,14.603517852470832,9.568084963870957,3,216,0.1042672384954105,-0.0013131976362441055,5.541007832126496,0.08728045283665013,3.425925925925926,2.0055649601366308,-0.07394253713710186,1.8780979157199722,308.9325168372955,0.05297166379371611,0.0,0.1527777777777778,0.7546296296296297,0.23511475008850707,4.963265924411119,0.02507005983488601,169,0.8366336633663366,39,36,3,2.3465346534653464
14_34_0_48_42_44_34,data/mechanics/14_34_0_48_42_44_34/network_N6x6x6_trial2.gpickle,14,34,0,48,42,44,34,3.1975200000000004,0.04611092929013684,11.222083333333332,1.562771754678918,12.844054905433334,1.1440765642672837,3,216,0.16128720065508229,0.035857100499251136,5.228560169449781,0.050779045912344986,3.564814814814815,1.8220518965865369,-0.45308631787893455,1.7361884323489967,319.8161236875109,0.05759783301596944,0.0,0.1574074074074074,0.7731481481481481,0.3666230437783496,4.80297236851598,0.025250703412452204,184,0.9108910891089109,35,34,3,2.5495049504950495
14_34_29_37_20_35_47,data/mechanics/14_34_29_37_20_35_47/network_N6x6x6_trial113.gpickle,14,34,29,37,20,35,47,2.9262799999999998,0.35825375587703184,12.238733333333334,1.0101831528105294,14.314882608445833,3.0731799813719545,3,216,0.1583763929112445,-0.03430013005531123,5.347027240037437,0.07010687890496058,3.425925925925926,1.9659306706800312,-0.11784012524103417,1.8872813373481039,308.24093867653437,0.05322259729827745,0.0,0.1574074074074074,0.7592592592592593,0.3002768159729965,4.92608110130181,0.024839144096962442,169,0.8366336633663366,38,35,3,2.3217821782178216
14_34_30_23_31_55_29,data/mechanics/14_34_30_23_31_55_29/network_N6x6x6_trial605.gpickle,14,34,30,23,31,55,29,3.85587,0.5182881073302763,12.505433333333334,1.4889996649503394,16.890665179583333,4.276522670600022,3,216,0.21998387387696539,-0.12098324428231914,5.26471602384119,0.05512743744857319,3.4074074074074074,1.8857999434223653,-0.26195010833738586,1.8775753684979084,310.43235127289125,0.05181724178053878,0.0,0.1574074074074074,0.7592592592592593,0.344382869040787,4.8600179560077805,0.02468951069878797,167,0.8267326732673267,38,37,3,2.4257425742574257
14_34_36_19_25_51_37,data/mechanics/14_34_36_19_25_51_37/network_N6x6x6_trial53481.gpickle,14,34,36,19,25,51,37,3.0609766666666665,0.5526533832541173,10.4721,1.4807797309750927,10.853391176999999,3.679677554213218,3,216,0.0946499231711963,-0.027756708554557395,5.313235801192059,0.06821735070886491,3.425925925925926,1.949376461103812,-0.19968345308610638,1.8734587387090385,309.9331638758121,0.05403384489220665,0.0,0.1574074074074074,0.75,0.30901926529698265,4.8220228510083585,0.025304807913503567,169,0.8366336633663366,40,36,3,2.3415841584158414
14_34_6_58_40_26_38,data/mechanics/14_34_6_58_40_26_38/network_N6x6x6_trial20.gpickle,14,34,6,58,40,26,38,3.857273333333333,0.6739518323705007,12.305416666666666,2.8019107570648196,17.31932368616667,8.729165332870481,3,216,0.2203019373298314,-0.1417486330678709,5.188118811881188,0.05716399629475079,3.4166666666666665,1.8212988853095007,-0.224719419472467,1.7938280646223947,312.88002471405224,0.05808871763976006,0.0,0.1574074074074074,0.7777777777777778,0.32718804469933843,4.835685771314514,0.02388080980895352,168,0.8316831683168316,34,33,3,2.495049504950495
