system,dp,sample_idx,rg
PDMS,30,209,19.709489822387695
PDMS,100,0,19.250822067260742
PDMS,100,1,21.98691749572754
PDMS,100,2,20.56659507751465
PDMS,100,3,23.396604537963867
PDMS,100,4,24.4778995513916
PDMS,100,5,25.289051055908203
PDMS,100,6,24.547426223754883
PDMS,100,7,21.952320098876953
PDMS,100,8,21.82012939453125
PDMS,100,9,33.77427291870117
PDMS,100,10,34.069252014160156
PDMS,100,11,20.58747100830078
PDMS,100,12,26.038148880004883
PDMS,100,13,30.425687789916992
PDMS,100,14,23.256452560424805
PDMS,100,15,21.59336280822754
PDMS,100,16,19.80548095703125
PDMS,100,17,23.166080474853516
PDMS,100,18,23.423927307128906
PDMS,100,19,32.298187255859375
PDMS,100,20,18.885154724121094
PDMS,100,21,23.338912963867188
PDMS,100,22,22.306270599365234
PDMS,100,23,20.7208309173584
PDMS,100,24,21.03754234313965
PDMS,100,25,19.695392608642578
PDMS,100,26,17.75581932067871
PDMS,100,27,27.90801239013672
PDMS,100,28,28.052833557128906
PDMS,100,29,18.82621192932129
PDMS,100,30,23.667142868041992
PDMS,100,31,24.49911880493164
PDMS,100,32,19.766971588134766
PDMS,100,33,22.833454132080078
PDMS,100,34,25.236194610595703
PDMS,100,35,28.055482864379883
PDMS,100,36,25.457660675048828
PDMS,100,37,22.772441864013672
PDMS,100,38,22.523195266723633
PDMS,100,39,22.986530303955078
PDMS,100,40,28.08584213256836
PDMS,100,41,30.074127197265625
PDMS,100,42,23.778240203857422
PDMS,100,43,19.993854522705078
PDMS,100,44,25.225324630737305
PDMS,100,45,27.099435806274414
PDMS,100,46,31.806228637695312
PDMS,100,47,25.266969680786133
PDMS,100,48,19.33772087097168
PDMS,100,49,25.514812469482422
PDMS,100,50,26.57627296447754
PDMS,100,51,27.13520622253418
PDMS,100,52,28.588537216186523
PDMS,100,53,27.07767677307129
PDMS,100,54,23.02945327758789
PDMS,100,55,28.848148345947266
PDMS,100,56,24.949323654174805
PDMS,100,57,26.665851593017578
PDMS,100,58,27.52538299560547
PDMS,100,59,24.999469757080078
PDMS,100,60,37.13553237915039
PDMS,100,61,30.88579750061035
PDMS,100,62,20.916465759277344
PDMS,100,63,23.920316696166992
PDMS,100,64,23.527013778686523
PDMS,100,65,29.930713653564453
PDMS,100,66,29.849323272705078
PDMS,100,67,20.940982818603516
PDMS,100,68,40.767940521240234
PDMS,100,69,21.237340927124023
PDMS,100,70,24.064783096313477
PDMS,100,71,23.13877296447754
PDMS,100,72,21.61159324645996
PDMS,100,73,24.438648223876953
PDMS,100,74,32.89625549316406
PDMS,100,75,32.16752624511719
PDMS,100,76,28.01247787475586
PDMS,100,77,21.327346801757812
PDMS,100,78,20.910972595214844
PDMS,100,79,20.23479461669922
PDMS,100,80,22.764930725097656
PDMS,100,81,30.71706199645996
PDMS,100,82,26.156618118286133
PDMS,100,83,25.207183837890625
PDMS,100,84,30.701677322387695
PDMS,100,85,26.71188735961914
PDMS,100,86,21.558019638061523
PDMS,100,87,25.648271560668945
PDMS,100,88,25.690242767333984
PDMS,100,89,25.8243465423584
PDMS,100,90,28.272735595703125
PDMS,100,91,22.643598556518555
PDMS,100,92,25.676748275756836
PDMS,100,93,16.456256866455078
PDMS,100,94,33.42405700683594
PDMS,100,95,24.369380950927734
PDMS,100,96,31.192012786865234
PDMS,100,97,28.373193740844727
PDMS,100,98,21.992733001708984
PDMS,100,99,23.900197982788086
PDMS,100,100,25.808622360229492
PDMS,100,101,23.7816219329834
PDMS,100,102,30.506132125854492
PDMS,100,103,26.889610290527344
PDMS,100,104,21.749195098876953
PDMS,100,105,29.084442138671875
PDMS,100,106,21.721601486206055
PDMS,100,107,21.7402400970459
PDMS,100,108,20.77622413635254
PDMS,100,109,23.658199310302734
PDMS,100,110,25.788095474243164
PDMS,100,111,21.84078025817871
PDMS,100,112,21.105241775512695
PDMS,100,113,20.933244705200195
PDMS,100,114,23.144699096679688
PDMS,100,115,24.822233200073242
PDMS,100,116,22.038253784179688
PDMS,100,117,20.479846954345703
PDMS,100,118,15.373186111450195
PDMS,100,119,34.27602767944336
PDMS,100,120,36.33663558959961
PDMS,100,121,25.164764404296875
PDMS,100,122,27.913379669189453
PDMS,100,123,29.45285415649414
PDMS,100,124,24.208282470703125
PDMS,100,125,22.415884017944336
PDMS,100,126,25.66803741455078
PDMS,100,127,25.23493194580078
PDMS,100,128,22.486547470092773
PDMS,100,129,26.146333694458008
PDMS,100,130,24.947521209716797
PDMS,100,131,36.27595901489258
PDMS,100,132,25.508935928344727
PDMS,100,133,26.9340877532959
PDMS,100,134,26.313304901123047
PDMS,100,135,22.21896743774414
PDMS,100,136,22.962186813354492
PDMS,100,137,33.01655960083008
PDMS,100,138,25.70468521118164
PDMS,100,139,25.150644302368164
PDMS,100,140,24.999849319458008
PDMS,100,141,41.97965621948242
PDMS,100,142,28.649089813232422
PDMS,100,143,20.492311477661133
PDMS,100,144,24.76182746887207
PDMS,100,145,27.039894104003906
PDMS,100,146,28.198745727539062
PDMS,100,147,21.649185180664062
PDMS,100,148,30.637737274169922
PDMS,100,149,40.00599670410156
PDMS,100,150,30.802255630493164
