system,dp,sample_idx,ree
PDMS,30,184,46.92715072631836
PDMS,30,185,59.031246185302734
PDMS,30,186,25.54850196838379
PDMS,30,187,40.47695541381836
PDMS,30,188,54.988834381103516
PDMS,30,189,55.61178970336914
PDMS,30,190,38.273590087890625
PDMS,30,191,34.908355712890625
PDMS,30,192,59.192100524902344
PDMS,30,193,46.48493576049805
PDMS,30,194,21.688858032226562
PDMS,30,195,27.797443389892578
PDMS,30,196,9.888921737670898
PDMS,30,197,56.14354705810547
PDMS,30,198,36.237098693847656
PDMS,30,199,28.709014892578125
PDMS,30,200,38.740421295166016
PDMS,30,201,37.79317855834961
PDMS,30,202,26.773895263671875
PDMS,30,203,21.6302547454834
PDMS,30,204,45.05013656616211
PDMS,30,205,36.69361114501953
PDMS,30,206,32.76087188720703
PDMS,30,207,50.200965881347656
PDMS,30,208,14.434110641479492
PDMS,30,209,59.305267333984375
PDMS,100,0,16.865760803222656
PDMS,100,1,48.54777526855469
PDMS,100,2,48.77201461791992
PDMS,100,3,22.195512771606445
PDMS,100,4,48.940738677978516
PDMS,100,5,56.445350646972656
PDMS,100,6,29.468849182128906
PDMS,100,7,35.10469436645508
PDMS,100,8,53.37297821044922
PDMS,100,9,60.35427474975586
PDMS,100,10,47.19381332397461
PDMS,100,11,60.8531379699707
PDMS,100,12,21.976911544799805
PDMS,100,13,25.652132034301758
PDMS,100,14,14.473713874816895
PDMS,100,15,42.59391784667969
PDMS,100,16,64.13174438476562
PDMS,100,17,50.97556686401367
PDMS,100,18,76.88842010498047
PDMS,100,19,69.4795913696289
PDMS,100,20,13.937616348266602
PDMS,100,21,56.09539031982422
PDMS,100,22,40.92200469970703
PDMS,100,23,37.026668548583984
PDMS,100,24,35.33921432495117
PDMS,100,25,22.607173919677734
PDMS,100,26,26.48944854736328
PDMS,100,27,70.18319702148438
PDMS,100,28,36.91175842285156
PDMS,100,29,32.84958267211914
PDMS,100,30,66.91681671142578
PDMS,100,31,76.67829895019531
PDMS,100,32,31.943037033081055
PDMS,100,33,51.48041915893555
PDMS,100,34,75.93907165527344
PDMS,100,35,31.761127471923828
PDMS,100,36,38.90609359741211
PDMS,100,37,48.070335388183594
PDMS,100,38,22.992443084716797
PDMS,100,39,24.454816818237305
PDMS,100,40,21.519208908081055
PDMS,100,41,94.9493408203125
PDMS,100,42,39.82825469970703
PDMS,100,43,44.878631591796875
PDMS,100,44,31.224510192871094
PDMS,100,45,20.88861656188965
PDMS,100,46,56.99191665649414
PDMS,100,47,24.671789169311523
PDMS,100,48,43.519508361816406
PDMS,100,49,61.061546325683594
PDMS,100,50,52.67786407470703
PDMS,100,51,42.82835388183594
PDMS,100,52,33.31023025512695
PDMS,100,53,25.761043548583984
PDMS,100,54,54.826568603515625
PDMS,100,55,51.61503601074219
PDMS,100,56,42.25342559814453
PDMS,100,57,24.60984230041504
PDMS,100,58,58.970516204833984
PDMS,100,59,61.947322845458984
PDMS,100,60,37.795745849609375
PDMS,100,61,32.240055084228516
PDMS,100,62,50.58336639404297
PDMS,100,63,50.440040588378906
PDMS,100,64,72.80497741699219
PDMS,100,65,76.32322692871094
PDMS,100,66,71.90320587158203
PDMS,100,67,32.959259033203125
PDMS,100,68,76.03768920898438
PDMS,100,69,52.52769470214844
PDMS,100,70,48.219139099121094
PDMS,100,71,26.455852508544922
PDMS,100,72,69.56219482421875
PDMS,100,73,25.104677200317383
PDMS,100,74,50.48612976074219
PDMS,100,75,18.841489791870117
PDMS,100,76,53.51171112060547
PDMS,100,77,51.05788040161133
PDMS,100,78,28.889144897460938
PDMS,100,79,34.36725997924805
PDMS,100,80,52.69225311279297
PDMS,100,81,69.70283508300781
PDMS,100,82,57.7442626953125
PDMS,100,83,46.907859802246094
PDMS,100,84,40.56679153442383
PDMS,100,85,78.53998565673828
PDMS,100,86,52.71562957763672
PDMS,100,87,43.74449157714844
PDMS,100,88,36.698116302490234
PDMS,100,89,59.510223388671875
PDMS,100,90,88.0062484741211
PDMS,100,91,65.54764556884766
PDMS,100,92,43.57715606689453
PDMS,100,93,36.7201042175293
PDMS,100,94,41.08356857299805
PDMS,100,95,80.00413513183594
PDMS,100,96,64.85181427001953
PDMS,100,97,57.67407989501953
PDMS,100,98,27.645832061767578
PDMS,100,99,53.68511199951172
PDMS,100,100,45.113468170166016
PDMS,100,101,17.711755752563477
PDMS,100,102,61.53938293457031
PDMS,100,103,16.488048553466797
PDMS,100,104,78.53253173828125
PDMS,100,105,62.58143615722656
PDMS,100,106,46.43563461303711
PDMS,100,107,50.769378662109375
PDMS,100,108,40.24613952636719
PDMS,100,109,46.24054718017578
PDMS,100,110,62.84214782714844
PDMS,100,111,60.64939880371094
PDMS,100,112,34.938720703125
PDMS,100,113,15.341171264648438
PDMS,100,114,19.63275718688965
PDMS,100,115,65.81121063232422
PDMS,100,116,71.24356842041016
PDMS,100,117,47.67973327636719
PDMS,100,118,35.0137939453125
PDMS,100,119,77.11183166503906
PDMS,100,120,64.86021423339844
PDMS,100,121,55.462440490722656
PDMS,100,122,64.00608825683594
PDMS,100,123,35.47908020019531
PDMS,100,124,30.615114212036133
PDMS,100,125,39.24024963378906
PDMS,100,126,60.248809814453125
PDMS,100,127,28.850313186645508
PDMS,100,128,36.0578727722168
PDMS,100,129,83.06786346435547
PDMS,100,130,25.623815536499023
PDMS,100,131,103.4113998413086
PDMS,100,132,75.95891571044922
PDMS,100,133,65.52063751220703
PDMS,100,134,61.02397918701172
PDMS,100,135,37.225013732910156
PDMS,100,136,48.44587707519531
PDMS,100,137,41.63883972167969
PDMS,100,138,59.02027130126953
PDMS,100,139,27.60234832763672
PDMS,100,140,30.860767364501953
PDMS,100,141,105.27449798583984
PDMS,100,142,54.80800247192383
PDMS,100,143,61.128173828125
PDMS,100,144,48.166526794433594
PDMS,100,145,33.47161865234375
PDMS,100,146,40.1997184753418
PDMS,100,147,49.85417556762695
PDMS,100,148,65.98709106445312
PDMS,100,149,118.91938018798828
PDMS,100,150,41.7242317199707
PDMS,100,151,47.086517333984375
PDMS,100,152,92.91522216796875
PDMS,100,153,96.76001739501953
PDMS,100,154,53.35589599609375
PDMS,100,155,63.38920593261719
PDMS,100,156,65.08888244628906
PDMS,100,157,72.95414733886719
PDMS,100,158,51.58598327636719
PDMS,100,159,22.344459533691406
PDMS,100,160,53.56942367553711
PDMS,100,161,104.14981842041016
PDMS,100,162,49.53847885131836
PDMS,100,163,67.18132781982422
PDMS,100,164,24.531808853149414
PDMS,100,165,30.63874053955078
PDMS,100,166,50.00307083129883
PDMS,100,167,37.64091110229492
PDMS,100,168,20.192434310913086
PDMS,100,169,50.21063995361328
PDMS,100,170,62.62371826171875
PDMS,100,171,54.29841995239258
PDMS,100,172,56.261993408203125
PDMS,100,173,27.48309326171875
PDMS,100,174,47.064659118652344
PDMS,100,175,24.939247131347656
PDMS,100,176,37.664527893066406
PDMS,100,177,65.83253479003906
PDMS,100,178,18.833904266357422
PDMS,100,179,61.859092712402344
PDMS,100,180,68.26302337646484
PDMS,100,181,46.69329833984375
PDMS,100,182,74.42288970947266
PDMS,100,183,39.920467376708984
PDMS,100,184,39.56048583984375
PDMS,100,185,32.77579116821289
PDMS,100,186,36.803287506103516
PDMS,100,187,43.5276985168457
PDMS,100,188,39.05119705200195
PDMS,100,189,21.45575523376465
PDMS,100,190,79.16458129882812
PDMS,100,191,28.923574447631836
PDMS,100,192,37.04601287841797
PDMS,100,193,31.00694465637207
PDMS,100,194,32.598045349121094
PDMS,100,195,46.58374786376953
PDMS,100,196,59.27517318725586
PDMS,100,197,46.542484283447266
PDMS,100,198,28.53680419921875
PDMS,100,199,33.83713912963867
PDMS,100,200,64.5938949584961
PDMS,100,201,73.22498321533203
PDMS,100,202,45.828067779541016
PDMS,100,203,35.66044235229492
PDMS,100,204,37.29289627075195
PDMS,100,205,44.25492858886719
PDMS,100,206,80.283935546875
PDMS,100,207,39.903385162353516
PDMS,100,208,14.492013931274414
PDMS,100,209,80.7264175415039
PMTFPS,10,0,18.63889503479004
PMTFPS,10,1,24.635549545288086
PMTFPS,10,2,13.585552215576172
PMTFPS,10,3,12.313634872436523
PMTFPS,10,4,24.74077796936035
PMTFPS,10,5,22.319358825683594
PMTFPS,10,6,22.993844985961914
PMTFPS,10,7,18.208646774291992
PMTFPS,10,8,19.093093872070312
PMTFPS,10,9,19.32560920715332
PMTFPS,10,10,17.14861297607422
PMTFPS,10,11,23.630626678466797
PMTFPS,10,12,21.645084381103516
PMTFPS,10,13,19.308198928833008
PMTFPS,10,14,13.598489761352539
PMTFPS,10,15,17.87400245666504
PMTFPS,10,16,21.803556442260742
PMTFPS,10,17,23.887165069580078
PMTFPS,10,18,17.69952392578125
PMTFPS,10,19,22.41053009033203
PMTFPS,10,20,15.283266067504883
PMTFPS,10,21,16.56072998046875
PMTFPS,10,22,18.344491958618164
PMTFPS,10,23,20.258716583251953
PMTFPS,10,24,14.052875518798828
PMTFPS,10,25,24.90178108215332
PMTFPS,10,26,22.981094360351562
PMTFPS,10,27,23.34048843383789
PMTFPS,10,28,13.835587501525879
PMTFPS,10,29,18.76511001586914
PMTFPS,10,30,20.67137908935547
PMTFPS,10,31,20.67154884338379
PMTFPS,10,32,19.214933395385742
PMTFPS,10,33,23.05865478515625
PMTFPS,10,34,22.240617752075195
PMTFPS,10,35,14.820088386535645
PMTFPS,10,36,25.71690559387207
PMTFPS,10,37,24.207902908325195
PMTFPS,10,38,17.232391357421875
PMTFPS,10,39,23.85556983947754
PMTFPS,10,40,18.706865310668945
PMTFPS,10,41,25.30333137512207
PMTFPS,10,42,17.2027530670166
PMTFPS,10,43,15.556382179260254
PMTFPS,10,44,15.008898735046387
PMTFPS,10,45,17.604455947875977
PMTFPS,10,46,21.676393508911133
PMTFPS,10,47,20.076059341430664
PMTFPS,10,48,18.582164764404297
PMTFPS,10,49,25.346527099609375
PMTFPS,10,50,21.45955467224121
PMTFPS,10,51,16.10719108581543
PMTFPS,10,52,23.576129913330078
PMTFPS,10,53,15.565656661987305
PMTFPS,10,54,18.421852111816406
PMTFPS,10,55,22.39210319519043
PMTFPS,10,56,19.69524383544922
PMTFPS,10,57,19.26399040222168
PMTFPS,10,58,22.277790069580078
PMTFPS,10,59,15.307169914245605
PMTFPS,10,60,17.94818878173828
PMTFPS,10,61,19.290210723876953
PMTFPS,10,62,20.397680282592773
PMTFPS,10,63,23.805360794067383
PMTFPS,10,64,23.281667709350586
PMTFPS,10,65,23.324647903442383
PMTFPS,10,66,22.552160263061523
PMTFPS,10,67,20.568519592285156
PMTFPS,10,68,24.393474578857422
PMTFPS,10,69,20.706087112426758
PMTFPS,10,70,23.710887908935547
PMTFPS,10,71,23.89936065673828
PMTFPS,10,72,17.58148193359375
PMTFPS,10,73,24.602487564086914
PMTFPS,10,74,12.924958229064941
PMTFPS,10,75,17.9322566986084
PMTFPS,10,76,21.82709503173828
PMTFPS,10,77,14.53856372833252
PMTFPS,10,78,17.72026252746582
PMTFPS,10,79,21.26141929626465
PMTFPS,10,80,16.189697265625
PMTFPS,10,81,15.469067573547363
PMTFPS,10,82,12.370865821838379
